"","Date","MSFT","MCD","WFC","XOM","GOOG","AAL","JPM","GE","AMZN","IBM"
"1","2015-01-02",46.76,93.26,54.7,92.83,524.81,53.91,62.49,25.06,308.52,162.06
"2","2015-01-05",46.325,92.23,53.2,90.29,513.87,53.875,60.55,24.6,302.19,159.51
"3","2015-01-06",45.65,92.4,52.09,89.81,501.96,53.04,58.98,24.07,295.29,156.07
"4","2015-01-07",46.23,94.01,52.4,90.72,501.1,53.01,59.07,24.08,298.42,155.05
"5","2015-01-08",47.59,94.36,53.56,92.23,502.68,53.66,60.39,24.37,300.46,158.42
"6","2015-01-09",47.19,93.21,52.68,92.1,496.17,52.02,59.34,24.03,296.93,159.11
"7","2015-01-12",46.6,93.01,52.05,90.33,492.55,49.58,58.83,23.98,291.41,156.44
"8","2015-01-13",46.355,92.83,51.85,90,496.18,50.4,58.84,23.86,294.74,156.81
"9","2015-01-14",45.955,91.54,51.25,89.74,500.87,49.41,56.81,23.78,293.27,155.8
"10","2015-01-15",45.48,91.38,50.72,88.96,501.79,49.41,54.99,23.58,286.95,154.57
"11","2015-01-16",46.24,91.49,51.64,91.12,508.08,49.81,55.93,23.59,290.74,157.14
"12","2015-01-20",46.39,90.8,52,91.09,506.9,52.75,55.71,23.85,289.44,156.95
"13","2015-01-21",45.92,90.34,52.1,91.87,518.04,53.67,55.89,24.04,297.25,152.09
"14","2015-01-22",47.13,90.89,53.77,92.87,534.39,55.59,57.59,24.28,310.32,155.39
"15","2015-01-23",47.18,89.56,53.26,90.89,539.95,55.69,56.68,24.48,312.39,155.87
"16","2015-01-26",47.01,90.67,53.58,91.76,535.21,55.45,56.77,24.59,309.66,156.36
"17","2015-01-27",42.66,89.57,52.97,90.95,518.63,52.695,56.2,24.38,306.75,153.67
"18","2015-01-28",41.19,88.78,52.16,87.95,510,50.62,54.75,23.84,303.91,151.55
"19","2015-01-29",42.01,93.27,52.76,87.58,510.66,52.24,55.67,24.08,311.78,155.48
"20","2015-01-30",40.4,92.44,51.92,87.42,534.52,49.08,54.38,23.89,354.53,153.31
"21","2015-02-02",41.28,92.51,52.81,89.58,528.48,48.72,55.47,24.21,364.47,154.66
"22","2015-02-03",41.6,93.92,53.45,92.25,529.24,47.5,56.72,24.47,363.55,158.47
"23","2015-02-04",41.84,94.05,53.03,91.46,522.76,49.46,56.38,24.16,364.75,156.96
"24","2015-02-05",42.45,94.34,53.67,92.36,527.58,48.81,56.77,24.5,373.89,157.91
"25","2015-02-06",42.41,93.99,54.45,91.5,531,48.145,57.89,24.52,374.28,156.72
"26","2015-02-09",42.36,92.72,54.21,91.56,527.83,46.53,57.82,24.64,370.56,155.75
"27","2015-02-10",42.6,94.02,54.57,91.01,536.94,48.05,58.46,24.72,372.995,158.56
"28","2015-02-11",42.38,94.21,53.9,90.6,535.97,47.59,58.37,24.77,375.14,158.2
"29","2015-02-12",43.09,95.09,54.86,92.37,542.93,47.88,59.57,24.89,377.17,158.52
"30","2015-02-13",43.87,95.65,55.33,93.37,549.01,48.39,59.67,25.15,381.83,160.4
"31","2015-02-17",43.58,94.35,55.37,93.05,542.84,48.01,60.1,25.17,375.43,160.96
"32","2015-02-18",43.53,94.58,54.52,91.01,539.7,49.31,59.37,25.25,373.37,162.19
"33","2015-02-19",43.5,94.19,54.56,89.44,542.87,49.78,59.23,25.01,378.995,163.89
"34","2015-02-20",43.855,94.19,54.83,89.92,538.95,51.02,59.8,25.21,383.66,163.65
"35","2015-02-23",44.15,94.31,55.1,89.01,531.91,51.31,59.35,25.17,380.14,162.91
"36","2015-02-24",44.09,94.98,55.37,89.42,536.09,51.52,60.82,25.39,378.59,164.83
"37","2015-02-25",43.99,98.66,55.33,89.6,543.87,49.73,61.14,25.91,385.37,162.81
"38","2015-02-26",44.055,99.51,55.15,88.65,555.48,49.35,61.58,25.89,384.8,160.87
"39","2015-02-27",43.85,98.9,54.79,88.54,558.4,47.9,61.28,25.99,380.16,161.94
"40","2015-03-02",43.88,100,55.55,88.04,571.34,48.31,61.77,26.11,385.655,160.48
"41","2015-03-03",43.28,99.74,55.45,87.62,573.64,48.77,61.97,25.86,384.61,161.03
"42","2015-03-04",43.055,100.25,54.82,87.18,573.37,48.95,62.13,25.66,382.72,159.42
"43","2015-03-05",43.11,99.11,54.84,86.74,575.33,48.395,62,25.82,387.83,161.18
"44","2015-03-06",42.36,97.13,54.59,85.63,567.685,47.995,60.89,25.42,380.09,158.5
"45","2015-03-09",42.85,97.71,54.67,85.16,568.85,47.92,61.5,25.64,378.56,160.77
"46","2015-03-10",42.03,96.29,53.29,84.26,555.01,46.735,59.96,25.17,369.51,157.81
"47","2015-03-11",41.98,94.96,53.7,84.02,551.18,47.39,60.24,25.19,366.37,156.8
"48","2015-03-12",41.02,96.25,55.59,84.22,555.51,48.68,61.37,25.4,374.24,157.98
"49","2015-03-13",41.38,96.35,55.34,83.87,547.32,49.22,61,25.04,370.58,154.28
"50","2015-03-16",41.56,97.15,55.73,84.76,554.51,50.22,61.85,25.45,373.35,157.08
"51","2015-03-17",41.695,96.17,55.91,84.08,550.84,53.69,61.61,25.31,371.92,156.96
"52","2015-03-18",42.5,97,56.17,86.07,559.5,54.13,61.75,25.64,375.135,159.81
"53","2015-03-19",42.285,95.98,55.51,84.41,557.99,55.19,61.2,25.33,373.24,159.81
"54","2015-03-20",42.88,97.05,56.01,84.54,560.36,55.76,61.75,25.4,378.49,162.88
"55","2015-03-23",42.855,98.62,55.78,85.43,558.81,54.395,61.14,25.47,375.11,164.63
"56","2015-03-24",42.9,99.36,55.35,84.52,570.19,53.93,60.46,25.27,374.09,163
"57","2015-03-25",41.46,98.14,54.54,84.86,558.785,52.01,59.61,24.91,370.96,159.2
"58","2015-03-26",41.21,97.64,54.5,84.32,555.17,51.265,59.54,24.8,367.35,160.59
"59","2015-03-27",40.97,96.96,54.12,83.58,548.34,52.66,59.55,24.86,370.56,160.4
"60","2015-03-30",40.96,97.88,54.77,85.63,552.03,53.64,60.96,25.12,374.59,162.67
"61","2015-03-31",40.655,97.44,54.4,85,548,52.78,60.58,24.81,372.1,160.5
"62","2015-04-01",40.72,96.29,53.94,84.46,542.56,50.44,59.95,24.84,370.255,159.18
"63","2015-04-02",40.29,95.83,54.37,84.3,535.53,49.175,60.52,24.94,372.25,160.45
"64","2015-04-06",41.545,96.28,54.08,85.13,536.765,48.08,60.47,25.18,377.04,162.04
"65","2015-04-07",41.53,96.35,54.02,85.75,537.02,47.495,60.85,25.02,374.41,162.07
"66","2015-04-08",41.42,96.85,54,84.06,541.61,48.74,61.05,25.01,381.2,161.85
"67","2015-04-09",41.48,96.55,54.19,84.65,540.78,47.84,61.47,25.73,383.54,162.34
"68","2015-04-10",41.72,97.8,54.32,85.56,540.01,47.73,61.7,28.51,382.65,162.86
"69","2015-04-13",41.76,97.44,54.59,85.34,539.17,47.79,62.07,27.63,382.36,162.38
"70","2015-04-14",41.65,97.58,54.19,86.63,530.39,47.42,63.04,27.73,385.11,162.3
"71","2015-04-15",42.255,96.44,54.81,88.08,532.53,47.75,64.21,27.46,383.45,164.13
"72","2015-04-16",42.16,95.63,54.81,87.73,533.8,48.24,63.81,27.28,386.04,163.13
"73","2015-04-17",41.615,94.88,54.05,86.93,524.05,48.19,62.84,27.25,375.56,160.67
"74","2015-04-20",42.905,96.18,54.36,87.24,535.38,49.76,63.24,27.02,389.51,166.16
"75","2015-04-21",42.635,94.87,54.28,86.88,533.97,51.36,62.31,26.62,391.18,164.26
"76","2015-04-22",42.985,97.84,54.67,87.46,539.365,51.4,62.94,26.91,389.8,165.36
"77","2015-04-23",43.34,97,54.86,87.54,547,51.45,62.8,26.85,389.99,170.24
"78","2015-04-24",47.87,98.74,54.7,86.97,565.06,52.705,62.6,26.8,445.1,169.78
"79","2015-04-27",48.03,96.44,54.97,87.01,555.37,51.87,62.34,26.88,438.56,170.73
"80","2015-04-28",49.155,96.83,55.41,87.8,553.68,51.19,62.76,27.12,429.31,173.92
"81","2015-04-29",49.06,97.02,55.46,87.87,549.08,48.88,63.6,27.09,429.37,174.4
"82","2015-04-30",48.64,96.55,55.1,87.37,537.34,48.285,63.26,27.08,421.78,171.29
"83","2015-05-01",48.655,97.8,55.19,88.85,537.9,49.39,63.61,27.31,422.87,173.67
