volume,volume weighted,open,close,high,low,time
1479.0,402.1955,402.02,402.5,402.5,402.02,2022-09-09 08:00:00
1220.0,403.6231,403.71,403.6,403.71,403.6,2022-09-09 09:00:00
142.0,403.5345,403.53,403.53,403.53,403.53,2022-09-09 10:00:00
4604.0,403.8504,403.91,403.8,403.96,403.8,2022-09-09 11:00:00
43701.0,403.5593,403.67,403.26,403.8499,403.23,2022-09-09 12:00:00
16881.0,403.4371,403.44,403.42,403.48,403.39,2022-09-09 13:00:00
336409.0,404.2655,404.28,404.3899,404.39,404.11,2022-09-09 14:00:00
168937.0,406.0158,405.97,406.15,406.16,405.83,2022-09-09 15:00:00
244828.0,405.485,405.65,405.25,405.79,405.25,2022-09-09 16:00:00
107556.0,405.8453,405.98,405.69,406.0,405.67,2022-09-09 17:00:00
67403.0,406.4405,406.54,406.415,406.54,406.345,2022-09-09 18:00:00
129969.0,406.6837,406.74,406.74,406.81,406.575,2022-09-09 19:00:00
454716.0,406.4315,406.46,406.38,406.6,406.28,2022-09-09 20:00:00
1862.0,406.463,406.51,406.48,406.51,406.38,2022-09-09 21:00:00
4349.0,407.959,406.74,407.92,408.07,406.74,2022-09-12 08:00:00
684.0,408.614,408.64,408.6,408.64,408.6,2022-09-12 10:00:00
3316.0,408.3732,408.37,408.32,408.43,408.32,2022-09-12 11:00:00
37813.0,408.5867,408.4097,408.92,409.3296,408.16,2022-09-12 12:00:00
4142.0,408.269,408.44,408.23,408.45,408.23,2022-09-12 13:00:00
319181.0,410.9846,411.02,411.0617,411.11,410.82,2022-09-12 14:00:00
161048.0,410.4654,410.52,410.5799,410.6399,410.34,2022-09-12 15:00:00
148522.0,409.303,409.22,409.31,409.43,409.17,2022-09-12 16:00:00
81574.0,410.2669,410.26,410.19,410.34,410.165,2022-09-12 17:00:00
100590.0,410.857,410.91,410.84,410.97,410.8,2022-09-12 18:00:00
119678.0,410.2126,410.28,410.18,410.35,410.14,2022-09-12 19:00:00
475921.0,411.0788,410.94,411.14,411.26,410.89,2022-09-12 20:00:00
2220.0,411.6035,411.63,411.6,411.63,411.54,2022-09-12 21:00:00
13770.0,411.7871,411.67,411.67,411.94,411.67,2022-09-12 22:00:00
2982.0,411.316,411.38,411.3,411.38,411.29,2022-09-12 23:00:00
1786.0,412.7116,412.42,412.77,412.86,412.42,2022-09-13 08:00:00
4724.0,413.5202,413.5,413.57,413.57,413.5,2022-09-13 11:00:00
55167.0,413.7281,413.6982,413.8,413.99,413.49,2022-09-13 12:00:00
116177.0,401.8387,401.98,401.73,402.05,401.67,2022-09-13 13:00:00
350160.0,400.78,400.91,400.47,401.06,400.45,2022-09-13 14:00:00
133951.0,398.3809,398.43,398.335,398.48,398.31,2022-09-13 15:00:00
89025.0,397.8144,397.88,397.6194,397.95,397.6,2022-09-13 16:00:00
143439.0,398.2245,398.39,398.055,398.395,398.01,2022-09-13 17:00:00
89538.0,398.3963,398.42,398.255,398.56,398.2501,2022-09-13 18:00:00
232802.0,395.9643,395.87,395.88,396.09,395.85,2022-09-13 19:00:00
584259.0,393.4267,393.18,393.56,393.68,393.1,2022-09-13 20:00:00
2403027.0,393.1006,393.6,393.53,393.69,393.51,2022-09-13 21:00:00
1677.0,393.7748,393.75,393.8,393.8,393.74,2022-09-13 22:00:00
2627.0,393.9235,394.02,393.92,394.02,393.9,2022-09-13 23:00:00
868.0,394.623,394.71,394.59,394.71,394.59,2022-09-14 08:00:00
4609.0,395.5326,395.66,395.54,395.66,395.5,2022-09-14 09:00:00
544.0,394.9808,395.0,394.97,395.0,394.97,2022-09-14 10:00:00
3984.0,394.836,394.77,394.85,394.85,394.77,2022-09-14 11:00:00
116855.0,393.3409,394.79,392.69,395.92,392.38,2022-09-14 12:00:00
4592.0,394.1439,394.13,394.05,394.21,394.01,2022-09-14 13:00:00
143013.0,394.982,395.11,394.83,395.16,394.81,2022-09-14 14:00:00
156919.0,395.3499,395.47,395.28,395.56,395.11,2022-09-14 15:00:00
86725.0,394.6397,394.67,394.71,394.7754,394.53,2022-09-14 16:00:00
76464.0,395.3629,395.27,395.4,395.45,395.24,2022-09-14 17:00:00
399760.0,393.2014,393.13,393.24,393.29,393.05,2022-09-14 18:00:00
143161.0,392.8026,392.62,392.89,392.96,392.56,2022-09-14 19:00:00
476753.0,394.5953,394.6,394.68,394.7,394.41,2022-09-14 20:00:00
